baseDate,movingPath,pathSize,movingCount
20190801,"우도-천진항(소라축제장 )|우도- 우도봉입구,돌칸이해변|우도-천진항(소라축제장 )|천지연폭포|칠십리 음식 특화거리|정방폭포",6,1
20190801,중문관광단지|테디베어뮤지엄|세계조가비박물관|천지연폭포|서귀포매일올레시장|중앙공원|서귀포매일올레시장|제주은행(북)|동미빌딩|제주은행(북),10,1
20190801,천지연폭포|정방폭포|정방폭포(주차장)|정방폭포|오일시장 일대 공영주차장,5,1
20190801,표선면6|표선면4|천지연폭포,3,1
20190801,곽지과물해변|서귀포여자고등학교(북)|서귀포예술의전당|세계조가비박물관|칠십리공원_A|천지연폭포,6,1
20190801,다이나믹메이즈|성읍랜드|성읍민속마을-가로등|성읍민속마을-종탑|성읍민속마을-가로등|성읍민속마을-성읍관리실|천지연폭포,7,1
20190801,서귀포매일올레시장|천지연폭포,2,2
20190801,서귀포전천후게이트볼장|솔동산 문화의 거리|천지연폭포,3,1
20190801,성산일출해양도립공원|칠십리 음식 특화거리|천지연폭포,3,1
20190801,원노형|노형오거리|방일리공원|노형초등학교|방일리공원|정존마을|노형초등학교|노형우체국|정존마을|노형초등학교|제주한라대학교(아쉬람BD_CU)|노형우체국|정존마을|노형우체국|노형초등학교|노형우체국|제주한라대학교(아쉬람BD_CU)|정존마을|노형초등학교|제주한라대학교(아쉬람BD_CU)|노형우체국|제주한라대학교(아쉬람BD_CU)|월산마을|칠십리공원_A|천지연폭포|칠십리공원_A|대유산업|롯데마트,28,1
20190801,제주국제공항|정존마을|중문랜드|천지연폭포,4,1
20190801,중앙공원|서귀포매일올레시장|천지연폭포|칠십리공원_A|외돌개|서귀포여자고등학교(북)|대정읍2,7,1
20190801,천지연폭포|칠십리공원_A|세계조가비박물관|중문랜드,4,1
20190801,천지연폭포|칠십리공원_A|세계조가비박물관|칠십리공원_A|천지연폭포|세계조가비박물관,6,1
20190801,삼아아파트|칠십리 음식 특화거리|천지연폭포,3,1
20190801,성산읍사무소|동문로터리|현대산부인과|동문로터리|동미빌딩|현대산부인과|동문로터리|서귀포매일올레시장|제주은행(북)|서귀포매일올레시장|현대산부인과|청소년문화의집(북)|동문로터리|동미빌딩|현대산부인과|솔동산 문화의 거리|천지연폭포|솔동산 문화의 거리|자치경찰단 서귀포지역경찰대|동문로터리|현대산부인과|동미빌딩|서귀포매일올레시장|동문로터리|서귀포매일올레시장|중앙공원|서귀포매일올레시장|동미빌딩|삼아아파트|삼성여자고등학교(북)|성산읍사무소|성산읍4|성산읍 공영주차장|광치기해변|성산읍4|성산읍3|성산읍사무소|표선면4|표선면6|성산포수협표선지점,40,1
20190801,월드컵경기장 대도로변 입구 매표소|천지연폭포|서귀포전천후게이트볼장|칠십리공원_A|월드컵경기장 대도로변 입구 매표소,5,1
20190801,천지연폭포|자치경찰단 서귀포지역경찰대|걸매생태공원|세계조가비박물관|서귀포여자고등학교(북)|서귀포전천후게이트볼장|서귀포여자고등학교(북)|제주월드컵경기장 서귀포버스터미널|세리월드_동화속미로공원,9,1
20190801,천지연폭포|자치경찰단 서귀포지역경찰대|천지연폭포|솔동산 문화의 거리|걸매생태공원|제주중앙여자고등학교(교통섬),6,1
20190801,천지연폭포|한담해변,2,1
20190801,천지연폭포|협재해변|금능으뜸원 해변|협재 해변|협재해변|한림공원 인근 공영주차장|중문·색달해변|중문관광단지|칠십리 음식 특화거리,9,1
20190801,청소년문화의집(북)|제주권역재활병원|비석거리|서귀포시민회관|청소년문화의집(북)|현대산부인과|천지연폭포,7,1
20190801,칠십리 음식 특화거리|천지연폭포,2,1
20190801,표선면5|칠십리 음식 특화거리|서복전시관|정방폭포(주차장)|정방폭포|칠십리 음식 특화거리|서복전시관|칠십리 음식 특화거리|칠십리공원_A|천지연폭포|청소년문화의집(북)|현대산부인과|표선면6|표선면4|표선해수욕장 주차장|표선 해비치 해변,16,1
20190801,서귀포여자고등학교(북)|외돌개|천지연폭포|제주권역재활병원|제주월드컵경기장 서귀포버스터미널|서귀포시외버스터미날,6,1
20190801,외돌개|천지연폭포|칠십리 음식 특화거리|자치경찰단 서귀포지역경찰대,4,1
